precio,localidad,tamanio,habitaciones,descripcion,link
1.650,calle Nou de la Rambla El Raval,71,3, exterior sin ascensor,/inmueble/105677191/
1.975,calle Gíriti 5,84,2,Planta 3ª exterior con ascensor,/inmueble/94383850/
1.100,calle Nou de Sant Francesc El Gòtic,49,1,Planta 2ª exterior con ascensor,/inmueble/104142482/
800,Passatge dels Escudellers 3,40,1,Planta 3ª exterior sin ascensor,/inmueble/83042796/
1.490,calle del Cometa 3,76,2,Planta 2ª interior con ascensor,/inmueble/92437594/
2.520,calle del Rec Comtal Sant Pere - Santa Caterina i la Ribera,45,1,Planta 4ª exterior con ascensor,/inmueble/103921330/
1.300,calle d'Escuder 1,35,1,Planta 2ª exterior sin ascensor,/inmueble/101339037/
1.300,calle del Rec Comtal 12,60,1,Planta 1ª interior con ascensor,/inmueble/86690882/
1.800,dels salvador 24,85,2,Planta 1ª exterior sin ascensor,/inmueble/107628657/
2.200,Sant Pere - Santa Caterina i la Ribera Barcelona,118,2,Planta 5ª exterior con ascensor,/inmueble/31083202/
1.190,La Barceloneta Barcelona,30,1,Planta 4ª exterior sin ascensor,/inmueble/107634460/
1.990,El Gòtic Barcelona,111,3,Planta 3ª exterior con ascensor,/inmueble/107373972/
1.650,El Raval Barcelona,62,2,Planta 3ª exterior con ascensor,/inmueble/107633357/
1.275,calle de Sant Vicenç El Raval,40,1,Planta 1ª exterior sin ascensor,/inmueble/107522868/
1.800,plaza de la Vila de Madrid 3,90,3,Planta 1ª exterior con ascensor,/inmueble/107633180/
850,calle de la Mare de Déu del Pilar Sant Pere - Santa Caterina i la Ribera,35,1,Bajo exterior sin ascensor,/inmueble/82051320/
1.159,calle del Cometa s/n,76,3,Bajo exterior sin ascensor,/inmueble/107633081/
3.350,El Gòtic Barcelona,143,3,Planta 2ª exterior sin ascensor,/inmueble/107430255/
2.900,via Laietana 13,117,2,Planta 1ª exterior con ascensor,/inmueble/107632803/
3.900,plaza del Pi El Gòtic,121,3,Planta 7ª exterior con ascensor,/inmueble/106864699/
1.390,calle Nou de la Rambla El Raval,52,2,Planta 3ª interior sin ascensor,/inmueble/107631693/
2.600,plaza del Mar La Barceloneta,60,2,Planta 3ª exterior con ascensor,/inmueble/106800694/
1.355,calle del Portal Nou 57,53,2,Planta 2ª exterior sin ascensor,/inmueble/107631174/
1.945,El Gòtic Barcelona,87,3,Planta 3ª exterior con ascensor,/inmueble/99906710/
1.200,calle de la Vila Joiosa La Barceloneta,35,2,Planta 2ª exterior sin ascensor,/inmueble/103392002/
1.295,El Raval Barcelona,52,2, sin ascensor,/inmueble/107404382/
1.990,calle de la Princesa Sant Pere - Santa Caterina i la Ribera,90,2,Planta 1ª exterior,/inmueble/90571629/
2.200,El Gòtic Barcelona,88,3, exterior con ascensor,/inmueble/107633983/
1.200,calle del Baluard La Barceloneta,30,1,Planta 3ª exterior sin ascensor,/inmueble/102589101/
2.050,calle del Príncep de Viana El Raval,65,2,Planta 2ª exterior con ascensor,/inmueble/105354996/
